id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
26386,1eaa9b88-1135-49a7-ac2f-6190e5562bad,2008-08-11,2008-08-11,,Seoul,280,pintail,"Kim, Hyun-tae",2011-07-29 13:29:30 +0000,2024-09-24 23:18:55 +0000,research,CC-BY,http://www.inaturalist.org/observations/26386,https://static.inaturalist.org/photos/47371/medium.jpg,,"","spotted seal
",3,0,false,,"Elizovskiy rayon, RU-KQ, RU",52.9296023478,158.5052490234,,,,,,,open,false,,,Spotted Seal,Phoca largha,Ларга,Mammalia,41714
710094,fc0cb04a-a936-454a-ab9e-13dc82ac3c1e,2006-07-24,2006-07-24,,Pacific Time (US & Canada),19715,gbentall,Gena Bentall,2014-06-01 15:40:21 +0000,2025-11-30 16:57:28 +0000,research,CC-BY-NC,http://www.inaturalist.org/observations/710094,https://inaturalist-open-data.s3.amazonaws.com/photos/892097/medium.jpg,,"","",4,0,false,,"Bering Island, Commander Islands, Russia",55.284248,165.779185,1548,,,,1548,,open,false,,,Bering Island Fox,Vulpes lagopus beringensis,Беринговский песец,Mammalia,712158
1848136,324c449d-1ec2-4044-842a-b6ef8c73d259,2006-08-15,2006-08-15,,Pacific Time (US & Canada),19715,gbentall,Gena Bentall,2015-08-09 21:24:16 +0000,2019-05-15 22:25:30 +0000,research,CC-BY-NC,http://www.inaturalist.org/observations/1848136,https://inaturalist-open-data.s3.amazonaws.com/photos/2246221/medium.jpg,,"","Taken during a sea otter research expedition. The north cape of Bering Island has a bizarre wooden structure built to be used as a blind from which to safely observe the fur seal rookery. Check it out on Google Earth, it is very cool! We used it to observe sea otters but it was pretty rickety and scary (although not as scary as the very aggressive fur seal bulls).",3,0,false,,"Kamchatka, RU",55.3439401513,165.9928979852,4289,,,,25591,,obscured,true,,,Northern Fur Seal,Callorhinus ursinus,Северный морской котик,Mammalia,41757
1848201,b6986f7f-477b-4d20-bf7e-42f078a7b356,2006-07-16,2006-07-16,,Pacific Time (US & Canada),19715,gbentall,Gena Bentall,2015-08-09 21:36:41 +0000,2024-11-23 09:18:18 +0000,research,CC-BY-NC,http://www.inaturalist.org/observations/1848201,https://inaturalist-open-data.s3.amazonaws.com/photos/2246236/medium.jpg,,"","",1,0,false,,"Bering Island, Commander Is., Russia",55.385216,165.771089,48329,,,,48329,,open,false,,,Common Minke Whale,Balaenoptera acutorostrata,Малый полосатик,Mammalia,41550
1848309,fc80cf05-bb82-4b88-9d67-a7801318b62b,2006-08-06,2006-08-06,,Pacific Time (US & Canada),19715,gbentall,Gena Bentall,2015-08-09 21:54:31 +0000,2022-02-01 16:46:17 +0000,research,CC-BY-NC,http://www.inaturalist.org/observations/1848309,https://inaturalist-open-data.s3.amazonaws.com/photos/2246270/medium.jpg,,"","норка---mink. Introduced as escapees from large scale fur farming in the town of Nikolskoye. I believe these are American mink but need to locate a *reference. This guy was one of many living fat and happy around the fishing camp on Serranoye lake.

*http://www.smallcarnivoreconservation.org/sccwiki/images/5/58/SCC_22_fragmented.pdf",7,0,false,,"Bering Island, Commander Is., Russia",55.306483,166.14006,7674,,,,7674,,open,false,,,American Mink,Neogale vison,Американская норка,Mammalia,1264432
2310336,173bef7e-3336-4144-9815-dac3a43fba08,2007-06-23 22:33:46,2007-06-23,2007-06-24 05:33:46 +0000,Pacific Time (US & Canada),19715,gbentall,Gena Bentall,2015-10-25 23:33:59 +0000,2025-08-12 06:47:19 +0000,research,CC-BY-NC,http://www.inaturalist.org/observations/2310336,https://inaturalist-open-data.s3.amazonaws.com/photos/2568776/medium.JPG,,"","I'm not in the habit of adding the photos of others but in this case, since there are no other iNat observations of this sub-species, I am making an exception. I was standing next to the person taking this photo, Lilian Carswell, and have her permission to use the image. This was taken on an expedition to Bering Island, one of Russia's Commander Islands, during a sea otter research expedition in the summer of 2007. We (Alaska Sealife Center and USGS) tagged otters in 2006 and collected data on foraging, spatial use, reproduction and survival for 3 summers. This sea otter population is at or near carrying capacity and rafts can contain hundreds of individuals.",7,0,false,,"Kamchatka, RU",55.280697914,165.6650559335,1311,,,,25591,,obscured,true,,,Western Sea Otter,Enhydra lutris lutris,Калан азиатский,Mammalia,133060
2494447,8c97b44c-ab98-4f28-afbe-c1135727bb63,2008-08-15,2008-08-15,,Seoul,280,pintail,"Kim, Hyun-tae",2015-12-21 22:08:42 +0000,2023-08-04 19:38:20 +0000,research,CC-BY,http://www.inaturalist.org/observations/2494447,https://inaturalist-open-data.s3.amazonaws.com/photos/2800256/medium.jpg,,"","",2,0,false,,"Elizovskiy rayon, Kamchatka, RU",53.199041,158.955002,2551,,,,2551,,,false,,,Arctic Ground Squirrel,Urocitellus parryii,Берингийский суслик,Mammalia,180001
9353993,604d79c8-10b4-4431-991e-05f12e40a7f8,2010-08-18 10:52:13 AM GMT+02:00,2010-08-18,2010-08-18 08:52:13 +0000,Pretoria,734363,fabienterrade,Fabien Terrade,2018-01-03 12:48:56 +0000,2023-07-06 18:53:19 +0000,research,CC-BY-NC,https://www.inaturalist.org/observations/9353993,https://inaturalist-open-data.s3.amazonaws.com/photos/12695772/medium.jpeg,,"",,8,0,false,2,"Kraï du Kamtchatka, Russie, 684406",55.9292192169,160.4516664147,16511,,,,16511,,open,false,gps,gps,Red Fox,Vulpes vulpes,Обыкновенная лисица,Mammalia,42069
9354102,1236e321-bc19-410b-a27c-6d5209281b4d,2010-08-23 3:52:24 PM GMT+02:00,2010-08-23,2010-08-23 13:52:24 +0000,Africa/Johannesburg,734363,fabienterrade,Fabien Terrade,2018-01-03 13:03:30 +0000,2023-07-06 18:53:23 +0000,research,CC-BY-NC,https://www.inaturalist.org/observations/9354102,https://inaturalist-open-data.s3.amazonaws.com/photos/12695903/medium.jpeg,,"",,2,0,false,2,"Kraï du Kamtchatka, Russie, 684035",52.5735603275,158.1063093245,16511,,,,16511,,open,false,gps,gps,Копытный лемминг,Dicrostonyx torquatus,Копытный лемминг,Mammalia,45693
9354123,c5fe0359-f917-4707-828e-2e7226dac5a6,2010-08-17 8:25:23 AM GMT+02:00,2010-08-17,2010-08-17 06:25:23 +0000,Africa/Johannesburg,734363,fabienterrade,Fabien Terrade,2018-01-03 13:08:01 +0000,2023-08-04 19:40:04 +0000,research,CC-BY-NC,https://www.inaturalist.org/observations/9354123,https://inaturalist-open-data.s3.amazonaws.com/photos/12695937/medium.jpeg,,"",,5,0,false,2,"Kraï du Kamtchatka, Russie, 684400",55.9353702594,160.7203520089,4128,,,,4128,,open,false,gps,gps,Arctic Ground Squirrel,Urocitellus parryii,Берингийский суслик,Mammalia,180001
